Subject ID,sIC Number,sIC Center,R_o/i,Max Power Frequency,Lateralization Index,Lateralization Strength,Lateralization Side,Centeral Network,Clustering Coefficient,Characteristic Path Length,Local Efficiency,Connectivity Strength,Connectivity Diversity,Central Energy,tICs Max Non-Gaussianity
5,1,"(48.0, -18.0, 58.0)",0.071,0.033,-0.143,0.138,Right,0.606,0.468,0.969,1.0,0.436,0.052,31562220146.27455,315.0031307602632
5,2,"(6.0, -84.0, 28.0)",0.066,0.01,-0.116,0.312,Right,0.668,0.569,0.974,1.0,0.543,0.037,35201915668.93894,315.00313095879017
5,3,"(-28.0, -44.0, 74.0)",0.456,0.019,0.296,0.06,Right,0.649,0.532,0.981,1.0,0.513,0.067,32812305153.60832,315.0031200170495
5,4,"(-48.0, -50.0, -48.0)",1.079,0.011,0.014,0.241,Left,0.481,0.411,0.964,1.0,0.374,0.038,5518970526.355961,315.00312916491833
5,5,"(-12.0, -92.0, -6.0)",0.035,0.01,0.882,0.444,Left,0.464,0.332,0.969,1.0,0.3,0.054,45724356561.34529,315.0031314101853
5,6,"(-38.0, -78.0, 42.0)",0.086,0.011,0.302,0.338,Left,0.416,0.284,0.97,1.0,0.253,0.07,33974424241.69961,315.0031315359215
5,7,"(2.0, -6.0, 50.0)",0.17,0.026,-0.03,0.288,Right,0.437,0.265,0.969,1.0,0.232,0.075,29270184500.983707,315.0031325484498
5,8,"(38.0, -58.0, 68.0)",0.263,0.022,0.013,0.066,Left,0.43,0.336,0.97,1.0,0.305,0.058,25353512623.049408,315.00313325991385
5,9,"(4.0, -10.0, 76.0)",0.831,0.033,0.746,0.392,Right,0.615,0.46,0.991,1.0,0.45,0.04,6419959663.738178,315.00311327213046
5,10,"(-10.0, -72.0, 70.0)",1.409,0.018,0.07,0.377,Left,,0.227,0.972,1.0,0.199,0.089,22041994268.283707,315.0031291681282
5,11,"(28.0, -94.0, -44.0)",1.367,0.011,0.15,0.319,Right,,0.384,0.98,1.0,0.363,0.054,7167434024.785816,315.003131956907
5,12,"(0.0, -62.0, -72.0)",1.704,0.033,-2.068,0.045,Right,,,0.972,1.0,,,22063679900.56247,315.00312091247594
5,13,"(40.0, -82.0, -38.0)",0.194,0.01,0.137,0.167,Left,0.383,0.263,0.975,1.0,0.238,0.051,51016354409.099365,315.0031297860243
5,14,"(26.0, -68.0, 58.0)",0.193,0.018,-1.21,0.451,Right,0.461,0.294,0.974,1.0,0.268,0.059,69211683569.62317,315.00313213472253
5,15,"(-48.0, 50.0, -22.0)",1.021,0.011,-0.239,0.011,Right,,0.316,0.98,1.0,0.296,0.03,11446166792.563925,315.00312032875564
5,16,"(-58.0, -68.0, 20.0)",0.224,0.011,0.61,0.887,Left,0.314,0.328,0.982,1.0,0.311,0.06,11698832253.441809,315.003131941665
5,17,"(-24.0, 56.0, 34.0)",0.347,0.015,0.133,0.332,Left,0.341,0.211,0.964,1.0,0.174,0.065,10908901393.050491,315.00313096850823
5,18,"(38.0, 48.0, 20.0)",0.197,0.024,-0.659,0.845,Right,0.371,0.229,0.977,1.0,0.206,0.053,37606872417.21753,315.0031334489358
5,19,"(54.0, -66.0, -24.0)",0.393,0.033,-0.345,0.427,Right,0.55,0.455,0.979,1.0,0.433,0.049,8022695516.070243,315.0031137980911
5,20,"(-50.0, -54.0, -48.0)",0.459,0.011,0.51,1.0,Left,0.807,0.721,0.994,1.0,0.714,0.033,13715640210.752045,152.61659768415137
5,21,"(54.0, -64.0, -10.0)",0.208,0.022,-0.933,0.732,Right,0.449,0.336,0.968,1.0,0.303,0.054,43045421039.25152,315.00313220054613
5,22,"(36.0, -94.0, 0.0)",0.115,0.027,-0.787,0.111,Left,0.467,0.352,0.979,1.0,0.33,0.062,24470383127.669186,315.00313269843366
5,23,"(10.0, -92.0, -8.0)",0.248,0.033,-0.065,0.323,Right,0.267,0.348,0.981,1.0,0.329,0.081,9764107205.265852,315.0031213045809
5,24,"(-4.0, -22.0, 8.0)",0.159,0.011,-1.665,0.147,Right,0.447,0.341,0.974,1.0,0.314,0.036,16197791400.895432,315.00312886241085
5,25,"(48.0, 8.0, -16.0)",0.108,0.018,0.228,0.428,Right,0.342,0.309,0.974,1.0,0.282,0.054,56025389546.85495,315.0031326649131
5,26,"(-48.0, -48.0, 58.0)",0.107,0.024,0.81,0.826,Left,0.183,0.178,0.962,1.0,0.138,0.106,46080896859.14682,315.0031332173866
5,27,"(58.0, -56.0, 32.0)",0.156,0.018,-0.629,0.543,Right,0.433,0.339,0.981,1.0,0.319,0.074,34834436821.581635,315.0031328629668
5,28,"(-8.0, -76.0, 38.0)",0.067,0.03,0.375,0.315,Right,0.19,0.216,0.976,1.0,0.192,0.084,55128065650.08583,315.0031316686856
5,29,"(70.0, 20.0, 14.0)",1.319,0.01,0.14,0.277,Right,,0.408,0.974,1.0,0.382,0.033,7677835083.266152,315.003130775979
5,30,"(-2.0, -62.0, -66.0)",1.696,0.093,-0.383,0.475,Right,0.425,0.31,0.968,1.0,0.277,0.044,35285430180.45979,315.00311254001343
